Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Expr1,Accident Date,Day,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
34G1373,424531,438534,3,Leeds 2016,16/04/2016,Saturday,1900,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,33,Car
34G1373,424531,438534,3,Leeds 2016,16/04/2016,Saturday,1900,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,23,Car
34H0719,428344,431277,2,Leeds 2016,17/04/2016,Sunday,1130,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,19,Car
34H0719,428344,431277,2,Leeds 2016,17/04/2016,Sunday,1130,A,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Male,19,Car
34H0964,440960,437451,1,Leeds 2016,17/04/2016,Sunday,1525,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Serious,Male,25,Motorcycle over 50cc and up to 125cc
34I0492,433372,434058,2,Leeds 2016,18/04/2016,Monday,1100,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,29,Pedal cycle
34I0627,433098,434025,2,Leeds 2016,18/04/2016,Monday,1225,A,Dry,Daylight street lights present,Fine without high winds,Driver,Serious,Male,58,Motorcycle over 125cc and up to 500cc
34I0675,423112,439317,2,Leeds 2016,17/04/2016,Sunday,1015,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,43,Pedal cycle
34I0700,429578,434761,1,Leeds 2016,18/04/2016,Monday,1120,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Male,65,Bus or coach (17 or more passenger seats)
34I1101,422833,442996,3,Leeds 2016,18/04/2016,Monday,1645,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,49,Car
34I1101,422833,442996,3,Leeds 2016,18/04/2016,Monday,1645,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,23,Goods vehicle 3.5 tonnes mgw and under
34I1101,422833,442996,3,Leeds 2016,18/04/2016,Monday,1645,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,63,Car
34I1102,426821,434975,3,Leeds 2016,18/04/2016,Monday,1640,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,21,Car
34I1154,433902,436534,2,Leeds 2016,18/04/2016,Monday,1700,A,Dry,Daylight street lights present,Unknown,Driver,Slight,Female,31,Car
34J1013,421992,433566,2,Leeds 2016,19/04/2016,Tuesday,1510,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,45,Car
34J1013,421992,433566,2,Leeds 2016,19/04/2016,Tuesday,1510,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Male,13,Car
34J1013,421992,433566,2,Leeds 2016,19/04/2016,Tuesday,1510,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,16,Car
34J1015,430820,433955,2,Leeds 2016,19/04/2016,Tuesday,1610,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,57,Pedal cycle
34J1178,433589,435637,2,Leeds 2016,19/04/2016,Tuesday,1645,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Serious,Male,13,Pedal cycle
34J1189,424221,428147,2,Leeds 2016,19/04/2016,Tuesday,1732,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,54,Car
34J1212,443362,438882,2,Leeds 2016,19/04/2016,Tuesday,1743,A(M),Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,48,Car
34J1397,429097,423575,2,Leeds 2016,20/04/2016,Wednesday,1908,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,21,Car
34J1397,429097,423575,2,Leeds 2016,20/04/2016,Wednesday,1908,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Serious,Male,61,Car
34J1748,444823,436471,1,Leeds 2016,19/04/2016,Tuesday,2225,B,Dry,Darkness no street lighting,Fine without high winds,Passenger,Slight,Female,23,Car
34J1808,428829,434630,1,Leeds 2016,19/04/2016,Tuesday,2305,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,23,Car
34K0257,440314,449472,1,Leeds 2016,20/04/2016,Wednesday,800,B,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Male,72,Bus or coach (17 or more passenger seats)
34K0258,428303,434118,2,Leeds 2016,20/04/2016,Wednesday,755,A,Dry,Daylight street lights present,Unknown,Driver,Slight,Male,37,Pedal cycle
34K0283,431018,430558,5,Leeds 2016,20/04/2016,Wednesday,830,Motorway,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,32,Car
34K0283,431018,430558,5,Leeds 2016,20/04/2016,Wednesday,830,Motorway,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,51,Car
34K0314,431055,431968,2,Leeds 2016,20/04/2016,Wednesday,740,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,50,Pedal cycle
34K0322,424062,428055,2,Leeds 2016,20/04/2016,Wednesday,855,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,51,Car
34K0554,429950,435053,2,Leeds 2016,20/04/2016,Wednesday,930,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,26,Pedal cycle
34K1034,433146,426324,2,Leeds 2016,20/04/2016,Wednesday,1535,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,42,Pedal cycle
34K1195,430965,429008,4,Leeds 2016,20/04/2016,Wednesday,1647,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,54,Car
34K1195,430965,429008,4,Leeds 2016,20/04/2016,Wednesday,1647,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,48,Car
34K1195,430965,429008,4,Leeds 2016,20/04/2016,Wednesday,1647,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Male,6,Car
34K1391,433096,435631,2,Leeds 2016,20/04/2016,Wednesday,1730,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,28,Car
34K1391,433096,435631,2,Leeds 2016,20/04/2016,Wednesday,1730,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,4,Car
34K1993,429899,433413,1,Leeds 2016,20/04/2016,Wednesday,2255,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,43,Taxi or Private hire car
34L0195,430640,434240,2,Leeds 2016,21/04/2016,Thursday,719,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Serious,Male,47,Pedal cycle
34L0343,430066,433772,1,Leeds 2016,21/04/2016,Thursday,915,Unclassified,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Serious,Male,46,Car
34L0719,431779,435552,1,Leeds 2016,21/04/2016,Thursday,1325,A,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Female,29,Car
34L1158,427274,430729,2,Leeds 2016,21/04/2016,Thursday,1640,Motorway,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,27,Car
34L1190,441158,445436,2,Leeds 2016,21/04/2016,Thursday,1653,A(M),Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,69,Car
34L1245,428243,435194,2,Leeds 2016,21/04/2016,Thursday,1720,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,25,Motorcycle over 50cc and up to 125cc
34L1400,433769,436237,2,Leeds 2016,21/04/2016,Thursday,1730,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,36,Car
34L1439,432092,436257,2,Leeds 2016,21/04/2016,Thursday,1846,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,36,Car
34L1642,425162,429001,1,Leeds 2016,21/04/2016,Thursday,2021,A,Dry,Darkness street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,15,Car
34L1732,430807,433856,2,Leeds 2016,21/04/2016,Thursday,2030,A,Dry,Darkness street lights present and lit,Unknown,Driver,Slight,Female,25,Pedal cycle
34L1893,436132,440880,3,Leeds 2016,21/04/2016,Thursday,2254,A,Dry,Darkness no street lighting,Fine without high winds,Driver,Slight,Male,24,Car
34L1893,436132,440880,3,Leeds 2016,21/04/2016,Thursday,2254,A,Dry,Darkness no street lighting,Fine without high winds,Passenger,Slight,Male,25,Car
34L1893,436132,440880,3,Leeds 2016,21/04/2016,Thursday,2254,A,Dry,Darkness no street lighting,Fine without high winds,Driver,Slight,Male,31,Car
34M0046,430876,435495,2,Leeds 2016,21/04/2016,Thursday,2320,Unclassified,Dry,Darkness street lights present and lit,Unknown,Passenger,Slight,Male,75,Bus or coach (17 or more passenger seats)
34M0251,427124,434796,2,Leeds 2016,22/04/2016,Friday,805,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,55,Pedal cycle
34M0268,431319,433912,1,Leeds 2016,22/04/2016,Friday,825,A,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Serious,Female,51,Goods vehicle 3.5 tonnes mgw and under
34M0752,429962,430866,2,Leeds 2016,22/04/2016,Friday,1315,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,52,Motorcycle over 500cc
34M0852,436771,425926,4,Leeds 2016,22/04/2016,Friday,1407,Motorway,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,21,Goods vehicle 3.5 tonnes mgw and under
34M0852,436771,425926,4,Leeds 2016,22/04/2016,Friday,1407,Motorway,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,20,Goods vehicle 3.5 tonnes mgw and under
34M0852,436771,425926,4,Leeds 2016,22/04/2016,Friday,1407,Motorway,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,61,Car
34M0852,436771,425926,4,Leeds 2016,22/04/2016,Friday,1407,Motorway,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,51,Car
34M0852,436771,425926,4,Leeds 2016,22/04/2016,Friday,1407,Motorway,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,50,Car
34M0926,428837,436575,2,Leeds 2016,22/04/2016,Friday,1422,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,19,Car
34M1318,430271,428436,1,Leeds 2016,22/04/2016,Friday,1723,Unclassified,Dry,Daylight street lights present,Unknown,Pedestrian,Slight,Female,13,Car
34N0033,428914,434807,2,Leeds 2016,23/04/2016,Saturday,15,Unclassified,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Driver,Slight,Male,23,Pedal cycle
34N0283,426687,435509,1,Leeds 2016,23/04/2016,Saturday,441,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Passenger,Slight,Male,32,Car
34N0283,426687,435509,1,Leeds 2016,23/04/2016,Saturday,441,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Passenger,Slight,Female,20,Car
34N1274,430447,426470,2,Leeds 2016,23/04/2016,Saturday,1747,Motorway,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,63,Car
34O0312,431384,431651,2,Leeds 2016,24/04/2016,Sunday,1200,A,Dry,Daylight street lights present,Unknown,Driver,Slight,Female,40,Car
34O0846,435942,428235,3,Leeds 2016,24/04/2016,Sunday,1352,A,Dry,Daylight street lights present,Unknown,Driver,Slight,Male,20,Motorcycle over 125cc and up to 500cc
34O1143,434350,436892,2,Leeds 2016,24/04/2016,Sunday,1800,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,33,Car
34O1143,434350,436892,2,Leeds 2016,24/04/2016,Sunday,1800,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Male,1,Car
34P0261,429136,435249,2,Leeds 2016,25/04/2016,Monday,825,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,44,Pedal cycle
34P0408,429098,432695,2,Leeds 2016,25/04/2016,Monday,1020,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,36,Car
34P0408,429098,432695,2,Leeds 2016,25/04/2016,Monday,1020,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,59,Car
34P0752,439331,430560,1,Leeds 2016,25/04/2016,Monday,1345,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,48,Bus or coach (17 or more passenger seats)
34P0752,439331,430560,1,Leeds 2016,25/04/2016,Monday,1345,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Male,16,Bus or coach (17 or more passenger seats)
34P1116,426579,425973,1,Leeds 2016,25/04/2016,Monday,1708,Motorway,Wet or Damp,Daylight street lights present,Other,Driver,Slight,Male,28,Car
34P1225,430002,432659,2,Leeds 2016,25/04/2016,Monday,1805,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,31,Taxi or Private hire car
34Q0224,424092,429306,1,Leeds 2016,26/04/2016,Tuesday,755,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,23,Car
34Q0580,429409,435666,2,Leeds 2016,26/04/2016,Tuesday,1215,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,48,Goods vehicle 3.5 tonnes mgw and under
34Q0693,431088,440462,3,Leeds 2016,26/04/2016,Tuesday,1329,A,Wet or Damp,Daylight street lights present,Snowing without high winds,Driver,Slight,Female,43,Car
34Q0710,436027,435506,1,Leeds 2016,26/04/2016,Tuesday,1341,A,Wet or Damp,Daylight street lights present,Raining without high winds,Driver,Serious,Male,26,Motorcycle over 50cc and up to 125cc
34Q0873,434673,434535,1,Leeds 2016,26/04/2016,Tuesday,1520,A,Wet or Damp,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Female,52,Car
34Q0931,439406,432690,2,Leeds 2016,26/04/2016,Tuesday,1550,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,26,Car
34Q1034,429192,433841,1,Leeds 2016,26/04/2016,Tuesday,1645,Unclassified,Wet or Damp,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Male,24,Car
34Q1266,430566,433456,2,Leeds 2016,26/04/2016,Tuesday,1834,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Male,78,Bus or coach (17 or more passenger seats)
34R0124,438488,438790,2,Leeds 2016,27/04/2016,Wednesday,625,A,Dry,Daylight street lights present,Fine without high winds,Driver,Serious,Male,36,Car
34R0124,438488,438790,2,Leeds 2016,27/04/2016,Wednesday,625,A,Dry,Daylight street lights present,Fine without high winds,Driver,Serious,Female,32,Car
34R0170,420953,434388,2,Leeds 2016,27/04/2016,Wednesday,741,A,Wet or Damp,Daylight street lights present,Fine without high winds,Driver,Serious,Male,35,Motorcycle over 50cc and up to 125cc
34R0470,429147,431994,2,Leeds 2016,27/04/2016,Wednesday,815,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,53,Pedal cycle
34R0775,430356,435453,2,Leeds 2016,27/04/2016,Wednesday,1355,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Male,5,Car
34R0854,431086,434211,3,Leeds 2016,27/04/2016,Wednesday,1455,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,49,Car
34R0854,431086,434211,3,Leeds 2016,27/04/2016,Wednesday,1455,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,85,Car
34R0971,428718,435612,2,Leeds 2016,27/04/2016,Wednesday,1545,A,Wet or Damp,Daylight street lights present,Raining without high winds,Driver,Slight,Male,48,Car
34R0971,428718,435612,2,Leeds 2016,27/04/2016,Wednesday,1545,A,Wet or Damp,Daylight street lights present,Raining without high winds,Passenger,Slight,Female,49,Car
34R1005,419191,444553,1,Leeds 2016,27/04/2016,Wednesday,1605,Unclassified,Snow,Daylight street lights present,Snowing without high winds,Driver,Slight,Female,63,Car
34R1008,432064,434902,1,Leeds 2016,27/04/2016,Wednesday,1610,Unclassified,Wet or Damp,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Male,10,Car
34R1570,435991,437068,2,Leeds 2016,27/04/2016,Wednesday,2010,Unclassified,Wet or Damp,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Male,34,Taxi or Private hire car
34R1570,435991,437068,2,Leeds 2016,27/04/2016,Wednesday,2010,Unclassified,Wet or Damp,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Male,21,Car
34S0276,430990,433764,5,Leeds 2016,28/04/2016,Thursday,815,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,29,Car
34S0323,429282,435071,1,Leeds 2016,28/04/2016,Thursday,902,A,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Female,23,Car
34S0424,429708,433961,2,Leeds 2016,28/04/2016,Thursday,1009,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,34,Pedal cycle
34S0486,427486,434590,2,Leeds 2016,28/04/2016,Thursday,1730,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,26,Pedal cycle
34S0776,431678,432539,2,Leeds 2016,28/04/2016,Thursday,1355,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,59,Goods vehicle 3.5 tonnes mgw and under
34S0776,431678,432539,2,Leeds 2016,28/04/2016,Thursday,1355,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Male,60,Goods vehicle 3.5 tonnes mgw and under
34S1121,430576,433446,1,Leeds 2016,28/04/2016,Thursday,1656,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Pedestrian,Slight,Male,12,Car
34S1163,430960,435855,2,Leeds 2016,28/04/2016,Thursday,1717,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Driver,Slight,Male,50,Car
34S1163,430960,435855,2,Leeds 2016,28/04/2016,Thursday,1717,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Passenger,Slight,Female,27,Car
34S1163,430960,435855,2,Leeds 2016,28/04/2016,Thursday,1717,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Passenger,Slight,Female,40,Taxi or Private hire car
34S1245,427730,430841,2,Leeds 2016,28/04/2016,Thursday,1100,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,69,Car
34S1252,428580,432979,2,Leeds 2016,28/04/2016,Thursday,1640,A,Wet or Damp,Daylight street lights present,Raining without high winds,Driver,Slight,Male,23,Car
34S1316,432095,436048,2,Leeds 2016,28/04/2016,Thursday,1825,A,Dry,Daylight street lights present,Unknown,Driver,Slight,Male,38,Pedal cycle
34S1333,426303,434006,2,Leeds 2016,28/04/2016,Thursday,1815,A,Dry,Daylight street lights present,Unknown,Driver,Slight,Male,27,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw
34S1601,430780,433215,2,Leeds 2016,28/04/2016,Thursday,2155,A,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Driver,Slight,Male,53,Car
34S1601,430780,433215,2,Leeds 2016,28/04/2016,Thursday,2155,A,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Driver,Slight,Male,43,Goods vehicle 3.5 tonnes mgw and under
34T0156,419495,437019,1,Leeds 2016,29/04/2016,Friday,530,A,Snow,Darkness street lights present and lit,Snowing without high winds,Driver,Slight,Male,35,Motorcycle over 50cc and up to 125cc
34T0543,433694,433606,2,Leeds 2016,29/04/2016,Friday,2016,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Female,41,Car
34T0778,441690,433170,2,Leeds 2016,29/04/2016,Friday,1400,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Serious,Male,25,Motorcycle over 50cc and up to 125cc
34T1812,437714,433090,1,Leeds 2016,29/04/2016,Friday,2250,A,Dry,Darkness street lights present and lit,Fine without high winds,Driver,Serious,Male,26,Motorcycle over 50cc and up to 125cc
34U0623,429769,434653,2,Leeds 2016,30/04/2016,Saturday,1150,A,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Male,85,Bus or coach (17 or more passenger seats)
34U0696,432019,435855,2,Leeds 2016,30/04/2016,Saturday,1240,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Serious,Male,53,Pedal cycle
34U1035,441578,432653,1,Leeds 2016,01/04/2016,Friday,1605,Unclassified,Wet or Damp,Daylight street lights present,Fine without high winds,Driver,Slight,Male,15,Pedal cycle
34U1326,427638,433716,4,Leeds 2016,30/04/2016,Saturday,1836,A,Dry,Daylight street lights present,Fine without high winds,Driver,Serious,Male,20,Motorcycle over 125cc and up to 500cc
34U1343,422533,435455,2,Leeds 2016,30/04/2016,Saturday,1847,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,66,Car
34U1343,422533,435455,2,Leeds 2016,30/04/2016,Saturday,1847,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,65,Car
34U1507,442780,431667,1,Leeds 2016,30/04/2016,Saturday,2000,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,45,Car
3510040,422520,440217,1,Leeds 2016,01/05/2016,Sunday,40,Unclassified,Wet or Damp,Darkness no street lighting,Fine without high winds,Driver,Slight,Male,26,Car
3520713,428995,433585,2,Leeds 2016,02/05/2016,Monday,1155,A,Dry,Daylight street lights present,Unknown,Driver,Slight,Female,23,Car
3520847,425915,436269,1,Leeds 2016,02/05/2016,Monday,1340,Unclassified,Wet or Damp,Daylight street lights present,Fine without high winds,Driver,Slight,Male,28,Pedal cycle
3521355,420960,441152,1,Leeds 2016,02/05/2016,Monday,1200,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Pedestrian,Slight,Female,61,Car
3530224,432780,439332,2,Leeds 2016,03/05/2016,Tuesday,823,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,52,Car
3530224,432780,439332,2,Leeds 2016,03/05/2016,Tuesday,823,A,Dry,Daylight street lights present,Fine without high winds,Driver,Serious,Female,59,Car
3530234,427938,435723,2,Leeds 2016,03/05/2016,Tuesday,800,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,34,Pedal cycle
3530276,430678,432563,3,Leeds 2016,03/05/2016,Tuesday,849,A,Dry,Daylight street lights present,Fine without high winds,Driver,Serious,Male,26,Motorcycle over 50cc and up to 125cc
3530284,429206,434164,2,Leeds 2016,03/05/2016,Tuesday,850,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,23,Pedal cycle
3530457,425935,437616,2,Leeds 2016,02/05/2016,Monday,957,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,27,Taxi or Private hire car
3530987,427273,433085,1,Leeds 2016,03/05/2016,Tuesday,1544,B,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Serious,Female,38,Car
3531200,428519,430746,1,Leeds 2016,03/05/2016,Tuesday,1720,Unclassified,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Female,11,Car
3531244,415910,442022,2,Leeds 2016,03/05/2016,Tuesday,1730,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,28,Car
3531412,430358,433916,2,Leeds 2016,03/05/2016,Tuesday,1810,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,43,Taxi or Private hire car
3531660,423540,435419,2,Leeds 2016,30/04/2016,Saturday,1443,B,Dry,Daylight street lights present,Fine without high winds,Driver,Serious,Male,55,Motorcycle over 125cc and up to 500cc
3531853,430606,434564,2,Leeds 2016,03/05/2016,Tuesday,2320,A,Wet or Damp,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Female,24,Car
3540209,435565,425884,3,Leeds 2016,04/05/2016,Wednesday,738,Motorway,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,22,Car
3540268,428067,426542,2,Leeds 2016,04/05/2016,Wednesday,835,A,Dry,Daylight street lights present,Fine without high winds,Driver,Serious,Male,32,Car
3540271,435021,436216,2,Leeds 2016,04/05/2016,Wednesday,842,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,14,Pedal cycle
3541105,428424,428709,3,Leeds 2016,04/05/2016,Wednesday,1638,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,37,Motorcycle over 500cc
3541510,436808,436502,1,Leeds 2016,04/05/2016,Wednesday,1810,Unclassified,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Male,6,Car
3550500,427325,431493,3,Leeds 2016,05/05/2016,Thursday,1120,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,32,Car
3550500,427325,431493,3,Leeds 2016,05/05/2016,Thursday,1120,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,53,Goods vehicle 3.5 tonnes mgw and under
3550500,427325,431493,3,Leeds 2016,05/05/2016,Thursday,1120,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,29,Car
3551192,426727,431732,2,Leeds 2016,05/05/2016,Thursday,1700,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,22,Car
3551673,430789,431378,1,Leeds 2016,05/05/2016,Thursday,2201,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Driver,Serious,Male,24,Motorcycle over 50cc and up to 125cc
3560493,439389,432656,3,Leeds 2016,06/05/2016,Friday,1036,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,45,Goods vehicle 3.5 tonnes mgw and under
3560493,439389,432656,3,Leeds 2016,06/05/2016,Friday,1036,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,41,Car
3560710,436162,435075,1,Leeds 2016,06/05/2016,Friday,1240,A,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Male,70,Goods vehicle 3.5 tonnes mgw and under
3561186,425066,434279,2,Leeds 2016,06/05/2016,Friday,1630,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,21,M cycle 50cc and under
3561230,431850,435970,2,Leeds 2016,06/05/2016,Friday,1646,B,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,27,Pedal cycle
3561371,428030,435983,2,Leeds 2016,06/05/2016,Friday,1755,A,Dry,Daylight street lights present,Fine without high winds,Driver,Serious,Male,38,Pedal cycle
3561587,429771,431072,1,Leeds 2016,06/05/2016,Friday,1945,Unclassified,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Female,10,Car
3570667,430735,424536,3,Leeds 2016,07/05/2016,Saturday,1149,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,47,Motorcycle over 500cc
3570667,430735,424536,3,Leeds 2016,07/05/2016,Saturday,1149,A,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,40,Motorcycle over 500cc
3570899,428809,430387,1,Leeds 2016,07/05/2016,Saturday,1402,Unclassified,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Male,2,Taxi or Private hire car
3571119,426040,436198,2,Leeds 2016,07/05/2016,Saturday,1601,A,Wet or Damp,Daylight street lights present,Raining without high winds,Driver,Slight,Female,48,Car
3571119,426040,436198,2,Leeds 2016,07/05/2016,Saturday,1601,A,Wet or Damp,Daylight street lights present,Raining without high winds,Passenger,Slight,Female,9,Car
3571206,431507,435124,3,Leeds 2016,07/05/2016,Saturday,1645,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,22,Car
3571206,431507,435124,3,Leeds 2016,07/05/2016,Saturday,1645,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,21,Car
3571297,432249,435428,2,Leeds 2016,07/05/2016,Saturday,1735,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,13,Taxi or Private hire car
