Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Expr1,Accident Date,Day,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
39U1332,434740,435278,1,Leeds 2016,30/09/2016,Friday,1200,Unclassified,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Slight,Male,21,Goods vehicle 3.5 tonnes mgw and under
39U1363,428221,435780,2,Leeds 2016,30/09/2016,Friday,1759,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,31,Pedal cycle
3A10435,431373,432075,1,Leeds 2016,01/10/2016,Saturday,807,Unclassified,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Serious,Male,77,Goods vehicle 3.5 tonnes mgw and under
3A10917,428168,429225,1,Leeds 2016,01/10/2016,Saturday,1550,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,65,Bus or coach (17 or more passenger seats)
3A20597,430716,438975,2,Leeds 2016,02/10/2016,Sunday,1020,A,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,55,Car
3A20789,432826,436278,2,Leeds 2016,02/10/2016,Sunday,1200,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,16,Pedal cycle
3A21014,429232,435447,2,Leeds 2016,02/10/2016,Sunday,1400,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,19,Car
3A21342,422938,443093,2,Leeds 2016,02/10/2016,Sunday,1725,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,60,Car
3A21653,439305,432352,1,Leeds 2016,02/10/2016,Sunday,1830,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,37,Car
3A21928,431410,435023,2,Leeds 2016,02/10/2016,Sunday,2302,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Male,39,Taxi or Private hire car
3A30201,431535,426379,2,Leeds 2016,03/10/2016,Monday,740,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,8,Car
3A30201,431535,426379,2,Leeds 2016,03/10/2016,Monday,740,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,28,Car
3A30237,425707,435410,2,Leeds 2016,03/10/2016,Monday,820,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,19,Car
3A30995,429862,433797,1,Leeds 2016,03/10/2016,Monday,1545,Unclassified,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Serious,Male,21,Taxi or Private hire car
3A31406,436137,427930,2,Leeds 2016,03/10/2016,Monday,500,A,Dry,Darkness street lighting unknown,Unknown,Driver,Slight,Male,28,Car
3A31453,424506,434441,2,Leeds 2016,03/10/2016,Monday,1745,B,Dry,Daylight street lights present,Fine without high winds,Driver,Serious,Male,38,Pedal cycle
3A31485,427600,436795,2,Leeds 2016,03/10/2016,Monday,1911,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,36,Pedal cycle
3A40219,439316,432380,2,Leeds 2016,04/10/2016,Tuesday,748,A,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,23,Car
3A40325,437575,433215,2,Leeds 2016,03/10/2016,Monday,1630,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,30,Car
3A40735,432794,434287,1,Leeds 2016,04/10/2016,Tuesday,1307,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Male,20,Motorcycle over 50cc and up to 125cc
3A41340,432221,433184,1,Leeds 2016,04/10/2016,Tuesday,1800,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Male,17,Motorcycle over 125cc and up to 500cc
3A50232,435674,434794,2,Leeds 2016,05/10/2016,Wednesday,850,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,46,Car
3A50248,427963,433621,2,Leeds 2016,05/10/2016,Wednesday,837,A,Dry,Daylight street lights present,Fine without high winds,Driver,Serious,Male,42,Pedal cycle
3A50290,436330,434209,2,Leeds 2016,05/10/2016,Wednesday,900,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,21,Motorcycle over 50cc and up to 125cc
3A50563,431885,435518,3,Leeds 2016,05/10/2016,Wednesday,1205,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,23,Car
3A50563,431885,435518,3,Leeds 2016,05/10/2016,Wednesday,1205,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,39,Car
3A50563,431885,435518,3,Leeds 2016,05/10/2016,Wednesday,1205,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,39,Car
